2026-05-05T13:10:48.719288 INFO  [Backend] GET /api/v1/dashboard 200 - Request processed successfully (0.0817s)
2026-05-05T13:10:48.719297 INFO  [Backend] POST /api/v1/login 200 - Request processed successfully (0.0525s)
2026-05-05T13:10:48.719597 INFO  [Backend] GET /api/v1/login 200 - Request processed successfully (3.8833s)
2026-05-05T13:10:48.719602 INFO  [SearchService] POST /api/v1/search 200 - Request processed successfully (4.284s)
2026-05-05T13:10:48.719606 ERROR  [SearchService] GET /api/v1/search 504 - Gateway Timeout: Upstream processing too slow (2.805s)
2026-05-05T13:10:48.719609 INFO  [SearchService] GET /api/v1/search 200 - Request processed successfully (3.1044s)
2026-05-05T13:10:48.719611 ERROR  [Backend] GET /api/v1/login 504 - Gateway Timeout: Upstream processing too slow (4.6456s)
2026-05-05T13:10:48.719613 INFO  [Backend] POST /api/v1/login 200 - Request processed successfully (2.9084s)
2026-05-05T13:10:48.719615 INFO  [Backend] POST /api/v1/dashboard 200 - Request processed successfully (2.0235s)
2026-05-05T13:10:48.719617 INFO  [SearchService] GET /api/v1/search 200 - Request processed successfully (4.4272s)
2026-05-05T14:14:23.118088 INFO  [SearchService] POST /api/v1/search 200 - Request processed successfully (0.0207s)
2026-05-05T14:14:23.118104 INFO  [Backend] POST /api/v1/dashboard 200 - Request processed successfully (0.0897s)
2026-05-05T14:14:23.118112 INFO  [UserService] GET /api/v1/user/profile 200 - Request processed successfully (0.0854s)
2026-05-05T14:14:23.118117 INFO  [UserService] GET /api/v1/user/profile 200 - Request processed successfully (0.0194s)
2026-05-05T14:14:31.077255 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:31.077295 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:31.077312 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:31.077324 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:31.077334 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:31.077345 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:31.077356 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:31.077367 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:31.077377 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:33.083892 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:33.083930 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:33.083940 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:33.083945 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:33.083950 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:33.083954 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:33.083959 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:33.083971 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:35.090133 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:35.090170 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:35.090187 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:35.090199 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:35.090209 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:35.090221 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:37.093777 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:37.093789 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:37.093795 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:37.093798 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:37.093810 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:37.093814 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:37.093817 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:37.093820 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:37.093823 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
